waveform	[0]	[1]
t0	2/27/2024  16:38:17.573649	2/27/2024  16:38:17.573649
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:38:17.573649	1.023766E+0	3.446521E+0
2/27/2024  16:38:17.573849	6.112657E-1	3.444741E+0
2/27/2024  16:38:17.574049	7.065826E-1	3.445712E+0
2/27/2024  16:38:17.574249	6.255066E-1	3.446035E+0
2/27/2024  16:38:17.574449	5.298065E+0	3.435193E+0
2/27/2024  16:38:17.574649	6.510755E-1	3.442151E+0
2/27/2024  16:38:17.574849	5.921700E-1	3.444093E+0
2/27/2024  16:38:17.575049	6.727605E-1	3.445064E+0
2/27/2024  16:38:17.575249	6.227556E-1	3.444903E+0
2/27/2024  16:38:17.575449	6.751879E-1	3.445226E+0
2/27/2024  16:38:17.575649	1.012438E+0	3.447006E+0
2/27/2024  16:38:17.575849	6.622416E-1	3.445550E+0
2/27/2024  16:38:17.576049	5.942738E-1	3.444741E+0
2/27/2024  16:38:17.576249	6.743788E-1	3.446359E+0
2/27/2024  16:38:17.576449	7.098192E-1	3.446359E+0
2/27/2024  16:38:17.576649	5.923318E-1	3.445388E+0
2/27/2024  16:38:17.576849	6.424986E-1	3.446521E+0
2/27/2024  16:38:17.577049	7.234127E-1	3.447006E+0
2/27/2024  16:38:17.577249	5.910372E-1	3.445550E+0
2/27/2024  16:38:17.577449	6.324652E-1	3.446683E+0
2/27/2024  16:38:17.577649	6.543121E-1	3.443284E+0
2/27/2024  16:38:17.577849	6.737314E-1	3.446035E+0
2/27/2024  16:38:17.578049	4.334012E+0	3.456069E+0
2/27/2024  16:38:17.578249	5.913609E-1	3.446035E+0
2/27/2024  16:38:17.578449	6.250211E-1	3.445873E+0
2/27/2024  16:38:17.578649	6.518846E-1	3.445064E+0
2/27/2024  16:38:17.578849	7.017277E-1	3.447654E+0
2/27/2024  16:38:17.579049	5.918464E-1	3.445388E+0
2/27/2024  16:38:17.579249	6.399093E-1	3.446844E+0
2/27/2024  16:38:17.579449	5.298065E+0	3.432927E+0
2/27/2024  16:38:17.579649	6.442787E-1	3.443770E+0
2/27/2024  16:38:17.579849	5.907136E-1	3.447330E+0
2/27/2024  16:38:17.580049	6.742169E-1	3.447330E+0
2/27/2024  16:38:17.580249	6.221082E-1	3.448786E+0
2/27/2024  16:38:17.580449	8.190533E-1	3.448301E+0
2/27/2024  16:38:17.580649	6.845739E-1	3.448786E+0
2/27/2024  16:38:17.580849	6.387765E-1	3.447977E+0
2/27/2024  16:38:17.581049	5.979958E-1	3.448463E+0
2/27/2024  16:38:17.581249	5.298065E+0	3.412374E+0
2/27/2024  16:38:17.581449	6.520465E-1	3.447168E+0
2/27/2024  16:38:17.581649	6.051163E-1	3.449110E+0
2/27/2024  16:38:17.581849	1.588548E+0	3.440371E+0
2/27/2024  16:38:17.582049	6.371583E-1	3.449434E+0
2/27/2024  16:38:17.582249	5.928173E-1	3.448139E+0
2/27/2024  16:38:17.582449	6.323034E-1	3.448463E+0
2/27/2024  16:38:17.582649	6.590051E-1	3.449110E+0
2/27/2024  16:38:17.582849	7.090100E-1	3.448301E+0
2/27/2024  16:38:17.583049	5.298065E+0	3.446683E+0
2/27/2024  16:38:17.583249	3.226754E+0	3.433089E+0
2/27/2024  16:38:17.583449	4.480472E+0	3.460924E+0
2/27/2024  16:38:17.583649	5.298065E+0	3.483742E+0
2/27/2024  16:38:17.583849	5.942738E-1	3.446359E+0
2/27/2024  16:38:17.584049	6.327889E-1	3.448625E+0
2/27/2024  16:38:17.584249	7.161305E-1	3.447654E+0
2/27/2024  16:38:17.584449	6.078674E-1	3.446197E+0
2/27/2024  16:38:17.584649	6.641836E-1	3.447654E+0
2/27/2024  16:38:17.584849	5.992905E-1	3.445873E+0
2/27/2024  16:38:17.585049	6.408803E-1	3.446683E+0
2/27/2024  16:38:17.585249	2.095721E+0	3.445712E+0
2/27/2024  16:38:17.585449	6.625653E-1	3.446521E+0
2/27/2024  16:38:17.585649	6.098093E-1	3.445064E+0
2/27/2024  16:38:17.585849	5.911990E-1	3.444579E+0
2/27/2024  16:38:17.586049	5.298065E+0	3.474518E+0
2/27/2024  16:38:17.586249	6.789100E-1	3.445873E+0
2/27/2024  16:38:17.586449	6.177389E-1	3.445388E+0
2/27/2024  16:38:17.586649	5.298065E+0	3.415125E+0
2/27/2024  16:38:17.586849	6.683911E-1	3.445550E+0
2/27/2024  16:38:17.587049	6.143405E-1	3.444579E+0
2/27/2024  16:38:17.587249	7.426703E-1	3.447168E+0
2/27/2024  16:38:17.587449	6.136932E-1	3.444417E+0
2/27/2024  16:38:17.587649	7.099810E-1	3.446521E+0
2/27/2024  16:38:17.587849	6.172534E-1	3.444741E+0
2/27/2024  16:38:17.588049	5.298065E+0	3.425483E+0
2/27/2024  16:38:17.588249	6.182244E-1	3.444903E+0
2/27/2024  16:38:17.588449	6.358636E-1	3.446035E+0
2/27/2024  16:38:17.588649	6.442787E-1	3.446197E+0
2/27/2024  16:38:17.588849	6.321416E-1	3.445550E+0
2/27/2024  16:38:17.589049	6.426604E-1	3.448139E+0
2/27/2024  16:38:17.589249	6.554449E-1	3.444579E+0
2/27/2024  16:38:17.589449	7.035078E-1	3.446197E+0
2/27/2024  16:38:17.589649	5.298065E+0	3.442799E+0
2/27/2024  16:38:17.589849	6.080292E-1	3.445064E+0
2/27/2024  16:38:17.590049	6.442787E-1	3.444903E+0
2/27/2024  16:38:17.590249	7.415375E-1	3.447977E+0
2/27/2024  16:38:17.590449	6.033362E-1	3.445550E+0
2/27/2024  16:38:17.590649	6.821465E-1	3.447492E+0
2/27/2024  16:38:17.590849	5.918464E-1	3.446035E+0
2/27/2024  16:38:17.591049	6.492954E-1	3.446359E+0
2/27/2024  16:38:17.591249	5.298065E+0	3.433412E+0
2/27/2024  16:38:17.591449	6.306851E-1	3.448463E+0
2/27/2024  16:38:17.591649	5.298065E+0	3.482771E+0
2/27/2024  16:38:17.591849	6.357018E-1	3.450243E+0
2/27/2024  16:38:17.592049	5.298065E+0	3.448948E+0
2/27/2024  16:38:17.592249	6.535029E-1	3.447654E+0
2/27/2024  16:38:17.592449	6.049544E-1	3.447330E+0
2/27/2024  16:38:17.592649	2.369375E+0	3.436649E+0
2/27/2024  16:38:17.592849	6.306851E-1	3.449434E+0
2/27/2024  16:38:17.593049	5.298065E+0	3.483580E+0
2/27/2024  16:38:17.593249	6.240502E-1	3.447330E+0
2/27/2024  16:38:17.593449	6.743788E-1	3.448139E+0
2/27/2024  16:38:17.593649	5.983195E-1	3.448139E+0
2/27/2024  16:38:17.593849	6.437932E-1	3.444255E+0
2/27/2024  16:38:17.594049	5.952448E-1	3.447815E+0
2/27/2024  16:38:17.594249	3.824561E+0	3.442475E+0
2/27/2024  16:38:17.594449	6.408803E-1	3.448463E+0
2/27/2024  16:38:17.594649	5.298065E+0	3.435354E+0
2/27/2024  16:38:17.594849	6.327889E-1	3.450728E+0
2/27/2024  16:38:17.595049	5.298065E+0	3.484066E+0
2/27/2024  16:38:17.595249	6.321416E-1	3.450405E+0
2/27/2024  16:38:17.595449	7.111138E-1	3.449434E+0
2/27/2024  16:38:17.595649	4.316372E+0	3.458011E+0
2/27/2024  16:38:17.595849	5.298065E+0	3.465455E+0
2/27/2024  16:38:17.596049	5.954066E-1	3.448463E+0
2/27/2024  16:38:17.596249	6.015561E-1	3.449110E+0
2/27/2024  16:38:17.596449	6.230792E-1	3.449434E+0
2/27/2024  16:38:17.596649	6.439550E-1	3.450081E+0
2/27/2024  16:38:17.596849	6.751879E-1	3.451214E+0
2/27/2024  16:38:17.597049	5.298065E+0	3.473385E+0
2/27/2024  16:38:17.597249	6.052781E-1	3.450890E+0
2/27/2024  16:38:17.597449	6.531793E-1	3.450890E+0
2/27/2024  16:38:17.597649	5.298065E+0	3.453156E+0
2/27/2024  16:38:17.597849	6.313324E-1	3.452994E+0
2/27/2024  16:38:17.598049	5.298065E+0	3.474518E+0
2/27/2024  16:38:17.598249	6.523701E-1	3.452347E+0
2/27/2024  16:38:17.598449	6.138550E-1	3.452023E+0
2/27/2024  16:38:17.598649	5.298065E+0	3.456554E+0
2/27/2024  16:38:17.598849	6.463825E-1	3.448463E+0
2/27/2024  16:38:17.599049	5.298065E+0	3.443770E+0
2/27/2024  16:38:17.599249	6.319798E-1	3.452994E+0
2/27/2024  16:38:17.599449	9.381589E-1	3.452023E+0
2/27/2024  16:38:17.599649	6.149878E-1	3.451538E+0
2/27/2024  16:38:17.599849	5.298065E+0	3.420790E+0
2/27/2024  16:38:17.600049	6.577105E-1	3.450890E+0
2/27/2024  16:38:17.600249	6.216228E-1	3.450405E+0
2/27/2024  16:38:17.600449	6.748642E-1	3.450081E+0
2/27/2024  16:38:17.600649	6.892670E-1	3.451214E+0
2/27/2024  16:38:17.600849	6.303615E-1	3.453318E+0
2/27/2024  16:38:17.601049	6.127222E-1	3.449757E+0
