waveform	[0]	[1]
t0	2/27/2024  16:35:39.476418	2/27/2024  16:35:39.476418
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:35:39.476418	6.138550E-1	3.084989E+0
2/27/2024  16:35:39.476618	1.435944E+0	3.084828E+0
2/27/2024  16:35:39.476818	6.829557E-1	3.086122E+0
2/27/2024  16:35:39.477018	6.454115E-1	3.085960E+0
2/27/2024  16:35:39.477218	6.157969E-1	3.084828E+0
2/27/2024  16:35:39.477418	5.215043E+0	3.088711E+0
2/27/2024  16:35:39.477618	6.737314E-1	3.086284E+0
2/27/2024  16:35:39.477818	6.384529E-1	3.085960E+0
2/27/2024  16:35:39.478018	6.062491E-1	3.085475E+0
2/27/2024  16:35:39.478218	5.298065E+0	3.030776E+0
2/27/2024  16:35:39.478418	6.680675E-1	3.086770E+0
2/27/2024  16:35:39.478618	6.389384E-1	3.086608E+0
2/27/2024  16:35:39.478818	6.138550E-1	3.087579E+0
2/27/2024  16:35:39.479018	5.907136E-1	3.088388E+0
2/27/2024  16:35:39.479218	7.669445E-1	3.089844E+0
2/27/2024  16:35:39.479418	6.585196E-1	3.088388E+0
2/27/2024  16:35:39.479618	6.280959E-1	3.088388E+0
2/27/2024  16:35:39.479818	5.899044E-1	3.087902E+0
2/27/2024  16:35:39.480018	7.033460E-1	3.088873E+0
2/27/2024  16:35:39.480218	6.492954E-1	3.088873E+0
2/27/2024  16:35:39.480418	6.206518E-1	3.087902E+0
2/27/2024  16:35:39.480618	3.663052E+0	3.089682E+0
2/27/2024  16:35:39.480818	6.751879E-1	3.089197E+0
2/27/2024  16:35:39.481018	6.381292E-1	3.088711E+0
2/27/2024  16:35:39.481218	6.033362E-1	3.087579E+0
2/27/2024  16:35:39.481418	3.704481E+0	3.103276E+0
2/27/2024  16:35:39.481618	6.604615E-1	3.083047E+0
2/27/2024  16:35:39.481818	6.319798E-1	3.086931E+0
2/27/2024  16:35:39.482018	6.030125E-1	3.086446E+0
2/27/2024  16:35:39.482218	8.755313E-1	3.086122E+0
2/27/2024  16:35:39.482418	5.298065E+0	3.080134E+0
2/27/2024  16:35:39.482618	5.897426E-1	3.085151E+0
2/27/2024  16:35:39.482818	5.910372E-1	3.085799E+0
2/27/2024  16:35:39.483018	5.908754E-1	3.085637E+0
2/27/2024  16:35:39.483218	5.298065E+0	3.092595E+0
2/27/2024  16:35:39.483418	6.973584E-1	3.086608E+0
2/27/2024  16:35:39.483618	6.585196E-1	3.084989E+0
2/27/2024  16:35:39.483818	6.355400E-1	3.084342E+0
2/27/2024  16:35:39.484018	6.143405E-1	3.083857E+0
2/27/2024  16:35:39.484218	5.887716E-1	3.081915E+0
2/27/2024  16:35:39.484418	4.419622E+0	3.093566E+0
2/27/2024  16:35:39.484618	6.759970E-1	3.083209E+0
2/27/2024  16:35:39.484818	6.617562E-1	3.082238E+0
2/27/2024  16:35:39.485018	6.481626E-1	3.084180E+0
2/27/2024  16:35:39.485218	6.310088E-1	3.082562E+0
2/27/2024  16:35:39.485418	6.106184E-1	3.082724E+0
2/27/2024  16:35:39.485618	6.921799E-1	3.081915E+0
2/27/2024  16:35:39.485818	6.942836E-1	3.082724E+0
2/27/2024  16:35:39.486018	6.509137E-1	3.084504E+0
2/27/2024  16:35:39.486218	6.187098E-1	3.082562E+0
2/27/2024  16:35:39.486418	5.298065E+0	3.075765E+0
2/27/2024  16:35:39.486618	6.611088E-1	3.082562E+0
2/27/2024  16:35:39.486818	6.208136E-1	3.082562E+0
2/27/2024  16:35:39.487018	5.298065E+0	3.039029E+0
2/27/2024  16:35:39.487218	6.594906E-1	3.082238E+0
2/27/2024  16:35:39.487418	6.224319E-1	3.082400E+0
2/27/2024  16:35:39.487618	5.298065E+0	3.082562E+0
2/27/2024  16:35:39.487818	6.713040E-1	3.083695E+0
2/27/2024  16:35:39.488018	6.415276E-1	3.082562E+0
2/27/2024  16:35:39.488218	6.183862E-1	3.083047E+0
2/27/2024  16:35:39.488418	5.897426E-1	3.082400E+0
2/27/2024  16:35:39.488618	6.703331E-1	3.083533E+0
2/27/2024  16:35:39.488818	6.133695E-1	3.081915E+0
2/27/2024  16:35:39.489018	1.677716E+0	3.078031E+0
2/27/2024  16:35:39.489218	6.509137E-1	3.085313E+0
2/27/2024  16:35:39.489418	6.104566E-1	3.083857E+0
2/27/2024  16:35:39.489618	7.086864E-1	3.085637E+0
2/27/2024  16:35:39.489818	6.360255E-1	3.083857E+0
2/27/2024  16:35:39.490018	5.911990E-1	3.083209E+0
2/27/2024  16:35:39.490218	6.615943E-1	3.079487E+0
2/27/2024  16:35:39.490418	6.175770E-1	3.084342E+0
2/27/2024  16:35:39.490618	4.270250E+0	3.095185E+0
2/27/2024  16:35:39.490818	6.470298E-1	3.084180E+0
2/27/2024  16:35:39.491018	6.051163E-1	3.084342E+0
2/27/2024  16:35:39.491218	7.175869E-1	3.085637E+0
2/27/2024  16:35:39.491418	6.452497E-1	3.084342E+0
2/27/2024  16:35:39.491618	6.128840E-1	3.083695E+0
2/27/2024  16:35:39.491818	5.298065E+0	3.057154E+0
2/27/2024  16:35:39.492018	6.768062E-1	3.084180E+0
2/27/2024  16:35:39.492218	6.535029E-1	3.086122E+0
2/27/2024  16:35:39.492418	6.428223E-1	3.084180E+0
2/27/2024  16:35:39.492618	6.316561E-1	3.084989E+0
2/27/2024  16:35:39.492818	6.185480E-1	3.084504E+0
2/27/2024  16:35:39.493018	5.991286E-1	3.083371E+0
2/27/2024  16:35:39.493218	5.967012E-1	3.084342E+0
2/27/2024  16:35:39.493418	3.171893E+0	3.077060E+0
2/27/2024  16:35:39.493618	6.727605E-1	3.084504E+0
2/27/2024  16:35:39.493818	6.533411E-1	3.084828E+0
2/27/2024  16:35:39.494018	6.400712E-1	3.084828E+0
2/27/2024  16:35:39.494218	6.041453E-1	3.084342E+0
2/27/2024  16:35:39.494418	3.301520E+0	3.081105E+0
2/27/2024  16:35:39.494618	6.572250E-1	3.085151E+0
2/27/2024  16:35:39.494818	6.240502E-1	3.084989E+0
2/27/2024  16:35:39.495018	1.740182E+0	3.084342E+0
2/27/2024  16:35:39.495218	6.690384E-1	3.085151E+0
2/27/2024  16:35:39.495418	6.310088E-1	3.086122E+0
2/27/2024  16:35:39.495618	5.895808E-1	3.086446E+0
2/27/2024  16:35:39.495818	6.834411E-1	3.087093E+0
2/27/2024  16:35:39.496018	6.394239E-1	3.087579E+0
2/27/2024  16:35:39.496218	6.012324E-1	3.087093E+0
2/27/2024  16:35:39.496418	7.285912E-1	3.088064E+0
2/27/2024  16:35:39.496618	6.481626E-1	3.087902E+0
2/27/2024  16:35:39.496818	6.133695E-1	3.087093E+0
2/27/2024  16:35:39.497018	5.298065E+0	3.024626E+0
2/27/2024  16:35:39.497218	6.565777E-1	3.087740E+0
2/27/2024  16:35:39.497418	6.217846E-1	3.087093E+0
2/27/2024  16:35:39.497618	8.742367E-1	3.087093E+0
2/27/2024  16:35:39.497818	6.717895E-1	3.086446E+0
2/27/2024  16:35:39.498018	6.347308E-1	3.085475E+0
2/27/2024  16:35:39.498218	5.965394E-1	3.085799E+0
2/27/2024  16:35:39.498418	7.462305E-1	3.087902E+0
2/27/2024  16:35:39.498618	6.518846E-1	3.088226E+0
2/27/2024  16:35:39.498818	6.204900E-1	3.084504E+0
2/27/2024  16:35:39.499018	2.072256E+0	3.085637E+0
2/27/2024  16:35:39.499218	6.745406E-1	3.085475E+0
2/27/2024  16:35:39.499418	6.387765E-1	3.084989E+0
2/27/2024  16:35:39.499618	6.138550E-1	3.084018E+0
2/27/2024  16:35:39.499818	5.945974E-1	3.083857E+0
2/27/2024  16:35:39.500018	5.298065E+0	3.078192E+0
2/27/2024  16:35:39.500218	6.989767E-1	3.084666E+0
2/27/2024  16:35:39.500418	6.541502E-1	3.086284E+0
2/27/2024  16:35:39.500618	6.340835E-1	3.083533E+0
2/27/2024  16:35:39.500818	6.109421E-1	3.082400E+0
2/27/2024  16:35:39.501018	5.892571E-1	3.082076E+0
2/27/2024  16:35:39.501218	5.298065E+0	3.079325E+0
2/27/2024  16:35:39.501418	6.805282E-1	3.081429E+0
2/27/2024  16:35:39.501618	6.352163E-1	3.081591E+0
2/27/2024  16:35:39.501818	6.002614E-1	3.079973E+0
2/27/2024  16:35:39.502018	2.007848E+0	3.073985E+0
2/27/2024  16:35:39.502218	6.439550E-1	3.081105E+0
2/27/2024  16:35:39.502418	6.083528E-1	3.081429E+0
2/27/2024  16:35:39.502618	5.298065E+0	3.028672E+0
2/27/2024  16:35:39.502818	6.692003E-1	3.080296E+0
2/27/2024  16:35:39.503018	6.357018E-1	3.081105E+0
2/27/2024  16:35:39.503218	5.970249E-1	3.080944E+0
2/27/2024  16:35:39.503418	6.976820E-1	3.082400E+0
2/27/2024  16:35:39.503618	6.405567E-1	3.081591E+0
2/27/2024  16:35:39.503818	5.979958E-1	3.080134E+0
2/27/2024  16:35:39.504018	6.894288E-1	3.082238E+0
2/27/2024  16:35:39.504218	6.378056E-1	3.081591E+0
2/27/2024  16:35:39.504418	5.928173E-1	3.080620E+0
2/27/2024  16:35:39.504618	6.874868E-1	3.082562E+0
2/27/2024  16:35:39.504818	6.391002E-1	3.081429E+0
2/27/2024  16:35:39.505018	5.999378E-1	3.079973E+0
2/27/2024  16:35:39.505218	7.811854E-1	3.084828E+0
2/27/2024  16:35:39.505418	6.538266E-1	3.083857E+0
2/27/2024  16:35:39.505618	6.266394E-1	3.081591E+0
2/27/2024  16:35:39.505818	5.958921E-1	3.081915E+0
2/27/2024  16:35:39.506018	5.298065E+0	3.028834E+0
2/27/2024  16:35:39.506218	6.857067E-1	3.082238E+0
2/27/2024  16:35:39.506418	6.573868E-1	3.083209E+0
2/27/2024  16:35:39.506618	6.415276E-1	3.082562E+0
2/27/2024  16:35:39.506818	6.285814E-1	3.083371E+0
2/27/2024  16:35:39.507018	6.127222E-1	3.083533E+0
2/27/2024  16:35:39.507218	5.973485E-1	3.083047E+0
2/27/2024  16:35:39.507418	7.017277E-1	3.083371E+0
2/27/2024  16:35:39.507618	6.567395E-1	3.083533E+0
2/27/2024  16:35:39.507818	6.332744E-1	3.083047E+0
2/27/2024  16:35:39.508018	6.075437E-1	3.082400E+0
2/27/2024  16:35:39.508218	4.174606E+0	3.087093E+0
2/27/2024  16:35:39.508418	6.887815E-1	3.084018E+0
2/27/2024  16:35:39.508618	6.562540E-1	3.083209E+0
2/27/2024  16:35:39.508818	6.339217E-1	3.082886E+0
2/27/2024  16:35:39.509018	6.143405E-1	3.083371E+0
2/27/2024  16:35:39.509218	5.897426E-1	3.082724E+0
2/27/2024  16:35:39.509418	5.298065E+0	3.026730E+0
2/27/2024  16:35:39.509618	6.858686E-1	3.083371E+0
2/27/2024  16:35:39.509818	6.594906E-1	3.080134E+0
2/27/2024  16:35:39.510018	6.424986E-1	3.083533E+0
2/27/2024  16:35:39.510218	6.269631E-1	3.082562E+0
2/27/2024  16:35:39.510418	6.080292E-1	3.082562E+0
2/27/2024  16:35:39.510618	5.971867E-1	3.082886E+0
2/27/2024  16:35:39.510818	3.131597E+0	3.075280E+0
2/27/2024  16:35:39.511018	6.722750E-1	3.083209E+0
2/27/2024  16:35:39.511218	6.424986E-1	3.083533E+0
2/27/2024  16:35:39.511418	6.136932E-1	3.083209E+0
2/27/2024  16:35:39.511618	5.298065E+0	3.081915E+0
2/27/2024  16:35:39.511818	6.748642E-1	3.083857E+0
2/27/2024  16:35:39.512018	6.402330E-1	3.084666E+0
