waveform	[0]	[1]
t0	2/27/2024  16:37:58.198058	2/27/2024  16:37:58.198058
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:37:58.198058	6.274486E-1	3.385672E+0
2/27/2024  16:37:58.198258	6.211373E-1	3.385348E+0
2/27/2024  16:37:58.198458	6.240502E-1	3.385025E+0
2/27/2024  16:37:58.198658	5.903899E-1	3.385510E+0
2/27/2024  16:37:58.198858	7.004331E-1	3.387129E+0
2/27/2024  16:37:58.199058	6.643454E-1	3.386643E+0
2/27/2024  16:37:58.199258	5.970249E-1	3.385834E+0
2/27/2024  16:37:58.199458	6.740551E-1	3.385834E+0
2/27/2024  16:37:58.199658	6.146641E-1	3.385834E+0
2/27/2024  16:37:58.199858	5.298065E+0	3.423864E+0
2/27/2024  16:37:58.200058	6.748642E-1	3.386319E+0
2/27/2024  16:37:58.200258	6.551212E-1	3.385187E+0
2/27/2024  16:37:58.200458	6.539884E-1	3.383245E+0
2/27/2024  16:37:58.200658	6.674201E-1	3.386481E+0
2/27/2024  16:37:58.200858	7.509235E-1	3.388909E+0
2/27/2024  16:37:58.201058	6.436314E-1	3.385996E+0
2/27/2024  16:37:58.201258	6.204900E-1	3.387129E+0
2/27/2024  16:37:58.201458	6.583578E-1	3.386481E+0
2/27/2024  16:37:58.201658	5.298065E+0	3.424997E+0
2/27/2024  16:37:58.201858	6.232410E-1	3.387290E+0
2/27/2024  16:37:58.202058	6.798809E-1	3.387290E+0
2/27/2024  16:37:58.202258	5.970249E-1	3.386967E+0
2/27/2024  16:37:58.202458	6.285814E-1	3.387290E+0
2/27/2024  16:37:58.202658	6.870014E-1	3.387938E+0
2/27/2024  16:37:58.202858	5.945974E-1	3.386643E+0
2/27/2024  16:37:58.203058	6.484862E-1	3.384216E+0
2/27/2024  16:37:58.203258	5.298065E+0	3.388747E+0
2/27/2024  16:37:58.203458	5.928173E-1	3.386643E+0
2/27/2024  16:37:58.203658	6.211373E-1	3.387129E+0
2/27/2024  16:37:58.203858	6.426604E-1	3.387776E+0
2/27/2024  16:37:58.204058	6.674201E-1	3.387129E+0
2/27/2024  16:37:58.204258	1.113257E+0	3.387129E+0
2/27/2024  16:37:58.204458	5.910372E-1	3.386805E+0
2/27/2024  16:37:58.204658	6.214609E-1	3.386967E+0
2/27/2024  16:37:58.204858	6.350545E-1	3.389718E+0
2/27/2024  16:37:58.205058	6.679056E-1	3.387290E+0
2/27/2024  16:37:58.205258	5.298065E+0	3.411403E+0
2/27/2024  16:37:58.205458	6.059254E-1	3.387776E+0
2/27/2024  16:37:58.205658	6.403948E-1	3.390203E+0
2/27/2024  16:37:58.205858	6.619180E-1	3.388909E+0
2/27/2024  16:37:58.206058	6.428223E-1	3.389394E+0
2/27/2024  16:37:58.206258	1.138341E+0	3.386805E+0
2/27/2024  16:37:58.206458	6.481626E-1	3.390203E+0
2/27/2024  16:37:58.206658	5.905517E-1	3.387452E+0
2/27/2024  16:37:58.206858	5.954066E-1	3.388100E+0
2/27/2024  16:37:58.207058	6.526938E-1	3.388747E+0
2/27/2024  16:37:58.207258	6.161206E-1	3.388585E+0
2/27/2024  16:37:58.207458	2.175665E+0	3.390042E+0
2/27/2024  16:37:58.207658	5.298065E+0	3.383406E+0
2/27/2024  16:37:58.207858	5.298065E+0	3.377257E+0
2/27/2024  16:37:58.208058	5.298065E+0	3.342625E+0
2/27/2024  16:37:58.208258	1.087850E+0	3.386481E+0
2/27/2024  16:37:58.208458	9.928569E-1	3.388261E+0
2/27/2024  16:37:58.208658	4.668200E+0	3.387776E+0
2/27/2024  16:37:58.208858	5.298065E+0	3.401370E+0
2/27/2024  16:37:58.209058	5.976722E-1	3.389394E+0
2/27/2024  16:37:58.209258	5.942738E-1	3.388585E+0
2/27/2024  16:37:58.209458	6.070582E-1	3.388909E+0
2/27/2024  16:37:58.209658	6.410421E-1	3.391498E+0
2/27/2024  16:37:58.209858	6.649927E-1	3.388747E+0
2/27/2024  16:37:58.210058	6.400712E-1	3.391013E+0
2/27/2024  16:37:58.210258	6.530174E-1	3.386967E+0
2/27/2024  16:37:58.210458	6.319798E-1	3.387776E+0
2/27/2024  16:37:58.210658	6.222701E-1	3.387452E+0
2/27/2024  16:37:58.210858	6.310088E-1	3.387776E+0
2/27/2024  16:37:58.211058	6.518846E-1	3.383892E+0
2/27/2024  16:37:58.211258	7.204998E-1	3.387938E+0
2/27/2024  16:37:58.211458	5.923318E-1	3.386481E+0
2/27/2024  16:37:58.211658	6.222701E-1	3.386643E+0
2/27/2024  16:37:58.211858	6.504282E-1	3.383083E+0
2/27/2024  16:37:58.212058	6.842503E-1	3.386805E+0
2/27/2024  16:37:58.212258	5.298065E+0	3.411565E+0
2/27/2024  16:37:58.212458	5.918464E-1	3.384539E+0
2/27/2024  16:37:58.212658	6.229174E-1	3.385672E+0
2/27/2024  16:37:58.212858	6.559303E-1	3.384701E+0
2/27/2024  16:37:58.213058	1.254048E+0	3.385348E+0
2/27/2024  16:37:58.213258	5.911990E-1	3.385025E+0
2/27/2024  16:37:58.213458	6.314943E-1	3.385348E+0
2/27/2024  16:37:58.213658	7.030224E-1	3.385672E+0
2/27/2024  16:37:58.213858	5.973485E-1	3.384054E+0
2/27/2024  16:37:58.214058	6.512373E-1	3.381950E+0
2/27/2024  16:37:58.214258	5.298065E+0	3.419980E+0
2/27/2024  16:37:58.214458	5.970249E-1	3.383730E+0
2/27/2024  16:37:58.214658	6.256685E-1	3.384701E+0
2/27/2024  16:37:58.214858	6.450878E-1	3.384216E+0
2/27/2024  16:37:58.215058	6.620798E-1	3.384863E+0
2/27/2024  16:37:58.215258	6.939600E-1	3.384701E+0
2/27/2024  16:37:58.215458	5.298065E+0	3.421113E+0
2/27/2024  16:37:58.215658	5.911990E-1	3.383730E+0
2/27/2024  16:37:58.215858	6.136932E-1	3.384054E+0
2/27/2024  16:37:58.216058	6.376437E-1	3.386319E+0
2/27/2024  16:37:58.216258	6.640218E-1	3.385187E+0
2/27/2024  16:37:58.216458	9.090298E-1	3.388747E+0
2/27/2024  16:37:58.216658	6.136932E-1	3.383245E+0
2/27/2024  16:37:58.216858	6.122367E-1	3.383245E+0
2/27/2024  16:37:58.217058	6.462206E-1	3.381141E+0
2/27/2024  16:37:58.217258	9.247272E-1	3.388747E+0
2/27/2024  16:37:58.217458	6.085147E-1	3.384539E+0
2/27/2024  16:37:58.217658	6.803664E-1	3.385996E+0
2/27/2024  16:37:58.217858	6.085147E-1	3.385510E+0
2/27/2024  16:37:58.218058	6.959019E-1	3.386643E+0
2/27/2024  16:37:58.218258	6.059254E-1	3.385025E+0
2/27/2024  16:37:58.218458	6.539884E-1	3.384054E+0
2/27/2024  16:37:58.218658	5.298065E+0	3.414154E+0
2/27/2024  16:37:58.218858	6.023652E-1	3.385672E+0
2/27/2024  16:37:58.219058	6.355400E-1	3.387614E+0
2/27/2024  16:37:58.219258	6.664492E-1	3.386158E+0
2/27/2024  16:37:58.219458	5.298065E+0	3.412051E+0
2/27/2024  16:37:58.219658	5.911990E-1	3.385187E+0
2/27/2024  16:37:58.219858	6.227556E-1	3.385672E+0
2/27/2024  16:37:58.220058	6.596524E-1	3.385672E+0
2/27/2024  16:37:58.220258	5.298065E+0	3.411080E+0
2/27/2024  16:37:58.220458	5.911990E-1	3.385187E+0
2/27/2024  16:37:58.220658	6.183862E-1	3.385348E+0
2/27/2024  16:37:58.220858	6.460588E-1	3.380655E+0
2/27/2024  16:37:58.221058	6.947691E-1	3.385510E+0
2/27/2024  16:37:58.221258	6.251830E-1	3.384054E+0
2/27/2024  16:37:58.221458	6.329507E-1	3.387290E+0
2/27/2024  16:37:58.221658	8.965690E-1	3.388261E+0
2/27/2024  16:37:58.221858	6.054399E-1	3.385025E+0
2/27/2024  16:37:58.222058	6.559303E-1	3.386481E+0
2/27/2024  16:37:58.222258	2.620373E+0	3.387129E+0
2/27/2024  16:37:58.222458	6.386147E-1	3.385025E+0
2/27/2024  16:37:58.222658	5.911990E-1	3.384054E+0
2/27/2024  16:37:58.222858	6.672583E-1	3.384701E+0
2/27/2024  16:37:58.223058	6.212991E-1	3.385834E+0
2/27/2024  16:37:58.223258	6.954164E-1	3.386158E+0
2/27/2024  16:37:58.223458	6.064109E-1	3.385025E+0
2/27/2024  16:37:58.223658	6.486481E-1	3.382921E+0
2/27/2024  16:37:58.223858	6.732460E-1	3.386319E+0
2/27/2024  16:37:58.224058	6.871632E-1	3.387776E+0
2/27/2024  16:37:58.224258	6.916944E-1	3.388261E+0
2/27/2024  16:37:58.224458	6.923417E-1	3.387614E+0
2/27/2024  16:37:58.224658	6.910471E-1	3.388100E+0
2/27/2024  16:37:58.224858	6.994621E-1	3.387938E+0
2/27/2024  16:37:58.225058	7.483343E-1	3.387776E+0
2/27/2024  16:37:58.225258	5.298065E+0	3.375153E+0
2/27/2024  16:37:58.225458	5.298065E+0	3.383892E+0
2/27/2024  16:37:58.225658	5.923318E-1	3.386319E+0
2/27/2024  16:37:58.225858	6.059254E-1	3.386805E+0
2/27/2024  16:37:58.226058	6.293905E-1	3.386643E+0
2/27/2024  16:37:58.226258	6.586814E-1	3.385834E+0
2/27/2024  16:37:58.226458	4.409912E+0	3.399590E+0
2/27/2024  16:37:58.226658	5.978340E-1	3.385510E+0
2/27/2024  16:37:58.226858	6.418513E-1	3.386805E+0
2/27/2024  16:37:58.227058	7.153213E-1	3.386481E+0
2/27/2024  16:37:58.227258	5.921700E-1	3.383892E+0
2/27/2024  16:37:58.227458	6.164442E-1	3.384701E+0
2/27/2024  16:37:58.227658	6.413658E-1	3.387290E+0
2/27/2024  16:37:58.227858	6.682293E-1	3.384539E+0
2/27/2024  16:37:58.228058	1.345320E+0	3.381950E+0
2/27/2024  16:37:58.228258	6.520465E-1	3.384054E+0
2/27/2024  16:37:58.228458	6.091620E-1	3.383730E+0
2/27/2024  16:37:58.228658	6.405567E-1	3.386643E+0
2/27/2024  16:37:58.228858	6.871632E-1	3.383245E+0
2/27/2024  16:37:58.229058	5.916845E-1	3.383406E+0
