waveform	[0]	[1]
t0	2/27/2024  16:35:04.195301	2/27/2024  16:35:04.195301
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:35:04.195301	6.340835E-1	3.045664E+0
2/27/2024  16:35:04.195501	5.298065E+0	3.091948E+0
2/27/2024  16:35:04.195701	6.368346E-1	3.045664E+0
2/27/2024  16:35:04.195901	5.298065E+0	3.083209E+0
2/27/2024  16:35:04.196101	6.410421E-1	3.046312E+0
2/27/2024  16:35:04.196301	1.637097E+0	3.045988E+0
2/27/2024  16:35:04.196501	6.471916E-1	3.045826E+0
2/27/2024  16:35:04.196701	5.890953E-1	3.044693E+0
2/27/2024  16:35:04.196901	6.544739E-1	3.049548E+0
2/27/2024  16:35:04.197101	5.988050E-1	3.046474E+0
2/27/2024  16:35:04.197301	6.703331E-1	3.048901E+0
2/27/2024  16:35:04.197501	6.212991E-1	3.047283E+0
2/27/2024  16:35:04.197701	5.298065E+0	2.987243E+0
2/27/2024  16:35:04.197901	6.520465E-1	3.049872E+0
2/27/2024  16:35:04.198101	6.083528E-1	3.047768E+0
2/27/2024  16:35:04.198301	6.913707E-1	3.048901E+0
2/27/2024  16:35:04.198501	6.334362E-1	3.047768E+0
2/27/2024  16:35:04.198701	2.611958E+0	3.050196E+0
2/27/2024  16:35:04.198901	6.463825E-1	3.048901E+0
2/27/2024  16:35:04.199101	4.012449E+0	3.052461E+0
2/27/2024  16:35:04.199301	6.433077E-1	3.048416E+0
2/27/2024  16:35:04.199501	5.897426E-1	3.047283E+0
2/27/2024  16:35:04.199701	6.449260E-1	3.048739E+0
2/27/2024  16:35:04.199901	1.407462E+0	3.044532E+0
2/27/2024  16:35:04.200101	6.167679E-1	3.047283E+0
2/27/2024  16:35:04.200301	6.725986E-1	3.048901E+0
2/27/2024  16:35:04.200501	6.143405E-1	3.047121E+0
2/27/2024  16:35:04.200701	6.834411E-1	3.049872E+0
2/27/2024  16:35:04.200901	6.234029E-1	3.048092E+0
2/27/2024  16:35:04.201101	6.983293E-1	3.049548E+0
2/27/2024  16:35:04.201301	6.211373E-1	3.048416E+0
2/27/2024  16:35:04.201501	6.831175E-1	3.047930E+0
2/27/2024  16:35:04.201701	6.112657E-1	3.047606E+0
2/27/2024  16:35:04.201901	6.669347E-1	3.046797E+0
2/27/2024  16:35:04.202101	6.028507E-1	3.047768E+0
2/27/2024  16:35:04.202301	6.620798E-1	3.049225E+0
2/27/2024  16:35:04.202501	6.004233E-1	3.048577E+0
2/27/2024  16:35:04.202701	6.646691E-1	3.045341E+0
2/27/2024  16:35:04.202901	6.107803E-1	3.049063E+0
2/27/2024  16:35:04.203101	6.908852E-1	3.050358E+0
2/27/2024  16:35:04.203301	6.326271E-1	3.050843E+0
2/27/2024  16:35:04.203501	6.080292E-1	3.050519E+0
2/27/2024  16:35:04.203701	6.604615E-1	3.051814E+0
2/27/2024  16:35:04.203901	6.107803E-1	3.050843E+0
2/27/2024  16:35:04.204101	6.886196E-1	3.051814E+0
2/27/2024  16:35:04.204301	6.256685E-1	3.050681E+0
2/27/2024  16:35:04.204501	7.172633E-1	3.052623E+0
2/27/2024  16:35:04.204701	6.271249E-1	3.051652E+0
