waveform	[0]	[1]
t0	2/27/2024  16:37:38.901513	2/27/2024  16:37:38.901513
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:37:38.901513	6.193572E-1	3.310420E+0
2/27/2024  16:37:38.901713	7.708284E-1	3.310420E+0
2/27/2024  16:37:38.901913	5.298065E+0	3.311553E+0
2/27/2024  16:37:38.902113	5.298065E+0	3.300225E+0
2/27/2024  16:37:38.902313	5.298065E+0	3.313495E+0
2/27/2024  16:37:38.902513	5.298065E+0	3.325794E+0
2/27/2024  16:37:38.902713	5.298065E+0	3.298445E+0
2/27/2024  16:37:38.902913	9.051459E-1	3.308478E+0
2/27/2024  16:37:38.903113	5.915227E-1	3.308802E+0
2/27/2024  16:37:38.903313	5.926555E-1	3.308802E+0
2/27/2024  16:37:38.903513	6.004233E-1	3.307669E+0
2/27/2024  16:37:38.903713	6.125604E-1	3.308155E+0
2/27/2024  16:37:38.903913	6.246975E-1	3.308478E+0
2/27/2024  16:37:38.904113	6.386147E-1	3.310744E+0
2/27/2024  16:37:38.904313	6.578723E-1	3.307993E+0
2/27/2024  16:37:38.904513	6.831175E-1	3.308964E+0
2/27/2024  16:37:38.904713	7.103046E-1	3.309449E+0
2/27/2024  16:37:38.904913	7.007568E-1	3.309288E+0
2/27/2024  16:37:38.905113	6.850594E-1	3.308802E+0
2/27/2024  16:37:38.905313	6.798809E-1	3.308802E+0
2/27/2024  16:37:38.905513	6.819847E-1	3.308478E+0
2/27/2024  16:37:38.905713	8.832991E-1	3.313010E+0
2/27/2024  16:37:38.905913	9.779687E-1	3.307022E+0
2/27/2024  16:37:38.906113	6.034980E-1	3.307184E+0
2/27/2024  16:37:38.906313	6.132077E-1	3.307184E+0
2/27/2024  16:37:38.906513	6.128840E-1	3.307507E+0
2/27/2024  16:37:38.906713	6.098093E-1	3.308155E+0
2/27/2024  16:37:38.906913	5.954066E-1	3.306860E+0
2/27/2024  16:37:38.907113	5.916845E-1	3.308155E+0
2/27/2024  16:37:38.907313	2.117568E+0	3.299740E+0
2/27/2024  16:37:38.907513	6.695239E-1	3.308478E+0
2/27/2024  16:37:38.907713	6.502664E-1	3.303300E+0
2/27/2024  16:37:38.907913	6.421749E-1	3.310420E+0
2/27/2024  16:37:38.908113	6.408803E-1	3.310097E+0
2/27/2024  16:37:38.908313	6.436314E-1	3.308802E+0
2/27/2024  16:37:38.908513	6.488099E-1	3.304756E+0
2/27/2024  16:37:38.908713	6.554449E-1	3.307022E+0
2/27/2024  16:37:38.908913	6.674201E-1	3.309611E+0
2/27/2024  16:37:38.909113	6.772917E-1	3.308640E+0
2/27/2024  16:37:38.909313	6.748642E-1	3.308478E+0
2/27/2024  16:37:38.909513	6.724368E-1	3.309611E+0
2/27/2024  16:37:38.909713	6.857067E-1	3.309773E+0
2/27/2024  16:37:38.909913	1.344672E+0	3.307022E+0
2/27/2024  16:37:38.910113	5.298065E+0	3.295856E+0
2/27/2024  16:37:38.910313	6.861922E-1	3.308964E+0
2/27/2024  16:37:38.910513	5.903899E-1	3.308478E+0
2/27/2024  16:37:38.910713	5.994523E-1	3.309126E+0
2/27/2024  16:37:38.910913	6.196808E-1	3.309449E+0
2/27/2024  16:37:38.911113	6.149878E-1	3.309935E+0
2/27/2024  16:37:38.911313	5.933028E-1	3.309288E+0
2/27/2024  16:37:38.911513	5.298065E+0	3.297474E+0
2/27/2024  16:37:38.911713	7.119229E-1	3.310744E+0
2/27/2024  16:37:38.911913	6.620798E-1	3.310097E+0
2/27/2024  16:37:38.912113	6.374819E-1	3.310906E+0
2/27/2024  16:37:38.912313	6.201663E-1	3.309773E+0
2/27/2024  16:37:38.912513	6.072200E-1	3.309935E+0
2/27/2024  16:37:38.912713	6.036598E-1	3.310097E+0
2/27/2024  16:37:38.912913	6.005851E-1	3.309449E+0
2/27/2024  16:37:38.913113	5.989668E-1	3.309935E+0
2/27/2024  16:37:38.913313	6.022034E-1	3.309611E+0
2/27/2024  16:37:38.913513	6.132077E-1	3.310097E+0
2/27/2024  16:37:38.913713	6.229174E-1	3.310259E+0
2/27/2024  16:37:38.913913	6.353782E-1	3.311877E+0
2/27/2024  16:37:38.914113	6.606234E-1	3.310259E+0
2/27/2024  16:37:38.914313	5.298065E+0	3.318674E+0
2/27/2024  16:37:38.914513	6.227556E-1	3.309773E+0
2/27/2024  16:37:38.914713	5.903899E-1	3.310744E+0
2/27/2024  16:37:38.914913	7.260020E-1	3.312039E+0
2/27/2024  16:37:38.915113	6.513991E-1	3.308802E+0
2/27/2024  16:37:38.915313	6.282577E-1	3.312524E+0
2/27/2024  16:37:38.915513	1.009202E+0	3.312686E+0
2/27/2024  16:37:38.915713	6.706567E-1	3.314466E+0
2/27/2024  16:37:38.915913	5.949211E-1	3.313010E+0
2/27/2024  16:37:38.916113	6.481626E-1	3.315437E+0
2/27/2024  16:37:38.916313	6.376437E-1	3.313333E+0
2/27/2024  16:37:38.916513	6.038216E-1	3.312362E+0
2/27/2024  16:37:38.916713	1.198217E+0	3.312686E+0
2/27/2024  16:37:38.916913	6.382911E-1	3.313657E+0
2/27/2024  16:37:38.917113	5.298065E+0	3.297798E+0
2/27/2024  16:37:38.917313	6.424986E-1	3.315114E+0
2/27/2024  16:37:38.917513	5.298065E+0	3.346671E+0
2/27/2024  16:37:38.917713	6.332744E-1	3.312362E+0
2/27/2024  16:37:38.917913	5.298065E+0	3.311391E+0
2/27/2024  16:37:38.918113	6.538266E-1	3.310259E+0
2/27/2024  16:37:38.918313	5.988050E-1	3.311715E+0
2/27/2024  16:37:38.918513	6.824702E-1	3.311877E+0
2/27/2024  16:37:38.918713	6.221082E-1	3.311715E+0
2/27/2024  16:37:38.918913	3.952085E+0	3.317865E+0
2/27/2024  16:37:38.919113	6.423368E-1	3.313495E+0
2/27/2024  16:37:38.919313	5.971867E-1	3.310420E+0
2/27/2024  16:37:38.919513	8.043269E-1	3.313495E+0
2/27/2024  16:37:38.919713	6.588432E-1	3.310097E+0
2/27/2024  16:37:38.919913	6.439550E-1	3.313657E+0
2/27/2024  16:37:38.920113	6.335980E-1	3.310744E+0
