waveform	[0]	[1]
t0	2/27/2024  16:36:49.436632	2/27/2024  16:36:49.436632
delta t	0.000200	0.000200

time	Y[0]	Y[1]
2/27/2024  16:36:49.436632	6.361873E-1	3.193093E+0
2/27/2024  16:36:49.436832	5.905517E-1	3.193093E+0
2/27/2024  16:36:49.437032	6.805282E-1	3.194225E+0
2/27/2024  16:36:49.437232	6.277722E-1	3.193902E+0
2/27/2024  16:36:49.437432	5.962157E-1	3.192769E+0
2/27/2024  16:36:49.437632	6.677438E-1	3.192931E+0
2/27/2024  16:36:49.437832	5.298065E+0	3.224812E+0
2/27/2024  16:36:49.438032	6.195190E-1	3.193740E+0
2/27/2024  16:36:49.438232	1.616868E+0	3.187590E+0
2/27/2024  16:36:49.438432	6.000996E-1	3.193740E+0
2/27/2024  16:36:49.438632	6.454115E-1	3.196167E+0
2/27/2024  16:36:49.438832	5.298065E+0	3.164772E+0
2/27/2024  16:36:49.439032	6.295523E-1	3.193902E+0
2/27/2024  16:36:49.439232	6.925035E-1	3.194225E+0
2/27/2024  16:36:49.439432	5.975103E-1	3.193740E+0
2/27/2024  16:36:49.439632	6.429841E-1	3.193740E+0
2/27/2024  16:36:49.439832	7.373300E-1	3.195035E+0
2/27/2024  16:36:49.440032	6.025270E-1	3.193254E+0
2/27/2024  16:36:49.440232	6.465443E-1	3.196491E+0
2/27/2024  16:36:49.440432	3.616121E+0	3.195196E+0
2/27/2024  16:36:49.440632	6.179007E-1	3.194064E+0
2/27/2024  16:36:49.440832	1.370079E+0	3.190018E+0
2/27/2024  16:36:49.441032	6.268013E-1	3.195196E+0
2/27/2024  16:36:49.441232	1.224595E+0	3.191960E+0
2/27/2024  16:36:49.441432	6.306851E-1	3.196167E+0
2/27/2024  16:36:49.441632	5.298065E+0	3.228857E+0
2/27/2024  16:36:49.441832	6.379674E-1	3.196167E+0
2/27/2024  16:36:49.442032	5.298065E+0	3.165419E+0
2/27/2024  16:36:49.442232	6.280959E-1	3.196006E+0
2/27/2024  16:36:49.442432	7.287531E-1	3.196491E+0
2/27/2024  16:36:49.442632	6.200045E-1	3.196167E+0
2/27/2024  16:36:49.442832	6.954164E-1	3.196815E+0
2/27/2024  16:36:49.443032	6.198426E-1	3.196329E+0
2/27/2024  16:36:49.443232	7.685628E-1	3.197300E+0
2/27/2024  16:36:49.443432	6.331126E-1	3.195520E+0
2/27/2024  16:36:49.443632	5.950829E-1	3.195196E+0
2/27/2024  16:36:49.443832	6.779390E-1	3.195844E+0
2/27/2024  16:36:49.444032	6.246975E-1	3.195196E+0
2/27/2024  16:36:49.444232	5.298065E+0	3.169303E+0
2/27/2024  16:36:49.444432	6.424986E-1	3.196167E+0
2/27/2024  16:36:49.444632	2.160938E+0	3.193416E+0
2/27/2024  16:36:49.444832	6.484862E-1	3.194549E+0
2/27/2024  16:36:49.445032	5.976722E-1	3.194064E+0
2/27/2024  16:36:49.445232	6.497809E-1	3.194225E+0
2/27/2024  16:36:49.445432	5.905517E-1	3.192607E+0
2/27/2024  16:36:49.445632	6.578723E-1	3.190827E+0
2/27/2024  16:36:49.445832	5.911990E-1	3.192931E+0
2/27/2024  16:36:49.446032	6.551212E-1	3.188723E+0
2/27/2024  16:36:49.446232	5.913609E-1	3.191798E+0
2/27/2024  16:36:49.446432	6.455733E-1	3.194064E+0
2/27/2024  16:36:49.446632	5.298065E+0	3.173349E+0
2/27/2024  16:36:49.446832	6.162824E-1	3.190989E+0
2/27/2024  16:36:49.447032	6.360255E-1	3.191151E+0
2/27/2024  16:36:49.447232	6.340835E-1	3.191474E+0
2/27/2024  16:36:49.447432	6.235647E-1	3.190989E+0
2/27/2024  16:36:49.447632	6.238883E-1	3.190827E+0
2/27/2024  16:36:49.447832	6.384529E-1	3.190665E+0
2/27/2024  16:36:49.448032	6.520465E-1	3.190989E+0
2/27/2024  16:36:49.448232	1.160673E+0	3.193254E+0
2/27/2024  16:36:49.448432	6.096475E-1	3.190989E+0
2/27/2024  16:36:49.448632	6.504282E-1	3.192445E+0
2/27/2024  16:36:49.448832	5.298065E+0	3.178528E+0
2/27/2024  16:36:49.449032	6.149878E-1	3.189856E+0
2/27/2024  16:36:49.449232	6.617562E-1	3.189694E+0
2/27/2024  16:36:49.449432	5.939501E-1	3.189856E+0
2/27/2024  16:36:49.449632	6.403948E-1	3.190989E+0
2/27/2024  16:36:49.449832	5.298065E+0	3.219147E+0
2/27/2024  16:36:49.450032	6.366728E-1	3.191312E+0
2/27/2024  16:36:49.450232	5.298065E+0	3.179337E+0
2/27/2024  16:36:49.450432	6.470298E-1	3.192283E+0
2/27/2024  16:36:49.450632	5.957302E-1	3.190665E+0
2/27/2024  16:36:49.450832	7.094955E-1	3.190503E+0
2/27/2024  16:36:49.451032	6.337599E-1	3.191312E+0
2/27/2024  16:36:49.451232	4.288537E+0	3.195844E+0
2/27/2024  16:36:49.451432	6.520465E-1	3.188238E+0
2/27/2024  16:36:49.451632	5.949211E-1	3.191474E+0
2/27/2024  16:36:49.451832	6.737314E-1	3.193578E+0
2/27/2024  16:36:49.452032	6.125604E-1	3.192283E+0
2/27/2024  16:36:49.452232	6.850594E-1	3.192122E+0
2/27/2024  16:36:49.452432	6.112657E-1	3.192445E+0
2/27/2024  16:36:49.452632	6.711422E-1	3.193578E+0
2/27/2024  16:36:49.452832	5.942738E-1	3.192283E+0
